流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,03-30 08:00,65.15,-0.06,0.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,二渡河,上板桥,03-30 08:00,265.14,0.32,1.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,东江,七水库,03-30 08:00,77.05,0.02,2.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,东江,红花湖,03-30 08:00,53.17,0.01,3.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,黄沙水,同沙,03-30 08:00,15.59,0.03,4.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,横岭水,鸡心石,03-30 08:00,51.44,-0.16,5.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,稿树下水,稿树下,03-30 08:00,58.44,0.02,6.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,里波水,联和,03-30 08:00,46.44,0.02,7.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,增江,天堂山,03-30 08:00,138.7,-0.09,8.0,2026-03-30,2026-03-30 18:58:44,0.0
流溪河,广东,流溪河,流溪河,03-30 08:00,225.41,0.06,9.0,2026-03-30,2026-03-30 18:58:44,0.0
流溪河,广东,天湖水库水,天湖,03-30 08:00,229.27,,10.0,2026-03-30,2026-03-30 18:58:44,0.0
流溪河,广东,沙坑,和龙,03-30 08:00,34.92,0.02,11.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,沙河,显岗,03-30 08:00,20.71,0.05,12.0,2026-03-30,2026-03-30 18:58:44,0.0
流溪河,广东,流溪河,黄龙带,03-30 08:00,162.5,,13.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,茅洲河,罗田,03-30 08:00,31.1,-0.2,14.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,西乡水,铁岗,03-30 08:00,23.3,-0.07,15.0,2026-03-30,2026-03-30 18:58:44,0.0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16.0,2026-03-30,2026-03-30 18:58:44,0.0
