流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,04-01 08:00,65.08,-0.03,0,2026-04-01 18:53:49,2026-04-01,0
珠江,广东,二渡河,上板桥,04-01 08:00,264.17,-0.97,0,2026-04-01 18:53:49,2026-04-01,1
珠江,广东,东江,七水库,04-01 08:00,77.16,0.07,0,2026-04-01 18:53:49,2026-04-01,2
珠江,广东,东江,红花湖,04-01 08:00,53.19,0.01,0,2026-04-01 18:53:49,2026-04-01,3
珠江,广东,黄沙水,同沙,04-01 08:00,15.75,0.01,0,2026-04-01 18:53:49,2026-04-01,4
珠江,广东,横岭水,鸡心石,04-01 08:00,51.0,-0.25,0,2026-04-01 18:53:49,2026-04-01,5
珠江,广东,稿树下水,稿树下,04-01 08:00,58.46,0.01,0,2026-04-01 18:53:49,2026-04-01,6
珠江,广东,里波水,联和,04-01 08:00,46.58,0.05,0,2026-04-01 18:53:49,2026-04-01,7
珠江,广东,增江,天堂山,04-01 08:00,138.71,0.06,0,2026-04-01 18:53:49,2026-04-01,8
流溪河,广东,流溪河,流溪河,04-01 08:00,225.7,0.2,0,2026-04-01 18:53:49,2026-04-01,9
流溪河,广东,天湖水库水,天湖,04-01 08:00,229.43,0.15,0,2026-04-01 18:53:49,2026-04-01,10
流溪河,广东,沙坑,和龙,04-01 08:00,34.58,-0.37,0,2026-04-01 18:53:49,2026-04-01,11
珠江,广东,沙河,显岗,04-01 08:00,20.84,-0.94,0,2026-04-01 18:53:49,2026-04-01,12
流溪河,广东,流溪河,黄龙带,04-01 08:00,161.39,-1.11,0,2026-04-01 18:53:49,2026-04-01,13
珠江,广东,茅洲河,罗田,04-01 08:00,30.39,-0.03,0,2026-04-01 18:53:49,2026-04-01,14
珠江,广东,西乡水,铁岗,04-01 08:00,23.2,-0.06,0,2026-04-01 18:53:49,2026-04-01,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-04-01 18:53:49,2026-04-01,16
珠江,广东,深圳水,深圳,04-01 08:00,27.46,-0.01,0,2026-04-01 18:53:49,2026-04-01,17
珠江,广东,新洲河,梅林,04-01 08:00,49.56,-0.01,0,2026-04-01 18:53:49,2026-04-01,18
