流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,04-04 08:00,65.04,-0.02,0,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,二渡河,上板桥,04-04 08:00,264.42,0.25,1,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,东江,七水库,04-04 08:00,77.84,0.59,2,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,东江,红花湖,04-04 08:00,53.18,,3,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,黄沙水,同沙,04-04 08:00,15.56,-0.14,4,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,横岭水,鸡心石,04-04 08:00,50.4,-0.25,5,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,稿树下水,稿树下,04-04 08:00,58.3,-0.11,6,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,里波水,联和,04-04 08:00,46.53,-0.03,7,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,增江,天堂山,04-04 08:00,138.61,0.05,8,2026-04-04,2026-04-03 20:57:32,0
流溪河,广东,流溪河,流溪河,04-04 08:00,225.55,-0.08,9,2026-04-04,2026-04-03 20:57:32,0
流溪河,广东,天湖水库水,天湖,04-04 08:00,229.35,-0.01,10,2026-04-04,2026-04-03 20:57:32,0
流溪河,广东,沙坑,和龙,04-04 08:00,34.55,-0.01,11,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,沙河,显岗,04-04 08:00,20.68,-0.1,12,2026-04-04,2026-04-03 20:57:32,0
流溪河,广东,流溪河,黄龙带,04-04 08:00,161.28,-0.01,13,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,茅洲河,罗田,04-04 08:00,30.29,-0.05,14,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,西乡水,铁岗,04-04 08:00,23.01,-0.06,15,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,深圳水,深圳,04-04 08:00,27.38,0.19,17,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,新洲河,梅林,04-04 08:00,49.55,,18,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,龙岗河,松子坑,04-04 08:00,60.66,-0.13,19,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,莲塘水,宝鸭仔,04-04 08:00,30.8,,20,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,沙坪水,四堡,04-04 08:00,64.84,-0.09,21,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,小隐涌,长江,04-04 08:00,22.87,-0.02,22,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,潭江,锦江,04-04 08:00,85.57,-0.08,23,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,鹤洲水,大沙河,04-04 08:00,31.15,-0.08,24,2026-04-04,2026-04-03 20:57:32,0
珠江,广东,镇海水,镇海,04-04 08:00,23.17,-0.04,0,2026-04-04,2026-04-03 20:57:32,1
珠江,广东,大镜山溪,大镜山,04-04 08:00,17.01,-0.04,1,2026-04-04,2026-04-03 20:57:32,1
韩江,广东,五华河,益塘,04-04 08:00,145.73,0.07,2,2026-04-04,2026-04-03 20:57:32,1
韩江,广东,和山河,和山岩,04-04 08:00,151.71,0.02,3,2026-04-04,2026-04-03 20:57:32,1
韩江,福建,汀江,棉花滩水库,04-04 08:00,157.6,1.45,4,2026-04-04,2026-04-03 20:57:32,1
韩江,广东,汀江,青溪,04-04 08:00,71.77,0.2,5,2026-04-04,2026-04-03 20:57:32,1
韩江,广东,程江,梅西,04-04 08:00,164.74,-0.78,6,2026-04-04,2026-04-03 20:57:32,1
韩江,广东,凤凰溪,凤溪,04-04 08:00,407.85,-0.03,7,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,五经富水,龙颈（上）,04-04 08:00,88.75,0.03,8,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,五经富水,龙颈(下),04-04 08:00,53,0.07,9,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,小龙溪,小龙溪,04-04 08:00,53.51,-0.02,10,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,龙溪水,龙溪一级,04-04 08:00,171.48,0.08,11,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,龙溪水,龙溪二级,04-04 08:00,60.41,-0.08,12,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,锣鼓水,红场,04-04 08:00,243.97,-0.12,13,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,金溪河,上金溪,04-04 08:00,86.5,-0.03,14,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,三坑溪,上三坑,04-04 08:00,152.35,0.05,15,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,练江,白沙溪,04-04 08:00,366.1,-0.04,16,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,雷岭河,镇北,04-04 08:00,44.32,0.01,17,2026-04-04,2026-04-03 20:57:32,1
粤东沿海诸河,广东,雷岭河,蜈蚣岭,04-04 08:00,45.82,0.01,18,2026-04-04,2026-04-03 20:57:32,1
