流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),screen_index,crawl_time_local,report_date,row_order_in_screen
珠江,广东,西枝江,白盆珠,05-19 08:00,65.97,0.06,0,2026-05-19 21:38:15,2026-05-19,0
珠江,广东,二渡河,上板桥,05-19 08:00,265.06,0.01,0,2026-05-19 21:38:15,2026-05-19,1
珠江,广东,东江,七水库,05-19 08:00,79.3,0.03,0,2026-05-19 21:38:15,2026-05-19,2
珠江,广东,东江,红花湖,05-19 08:00,53.23,-0.02,0,2026-05-19 21:38:15,2026-05-19,3
珠江,广东,黄沙水,同沙,05-19 08:00,15.45,-0.04,0,2026-05-19 21:38:15,2026-05-19,4
珠江,广东,横岭水,鸡心石,05-19 08:00,45.4,0.1,0,2026-05-19 21:38:15,2026-05-19,5
珠江,广东,稿树下水,稿树下,05-19 08:00,56.14,-0.13,0,2026-05-19 21:38:15,2026-05-19,6
珠江,广东,里波水,联和,05-19 08:00,47.36,0.01,0,2026-05-19 21:38:15,2026-05-19,7
珠江,广东,增江,天堂山,05-19 08:00,133.01,-0.19,0,2026-05-19 21:38:15,2026-05-19,8
流溪河,广东,流溪河,流溪河,05-19 08:00,222.24,,0,2026-05-19 21:38:15,2026-05-19,9
流溪河,广东,天湖水库水,天湖,05-19 08:00,229.05,-0.01,0,2026-05-19 21:38:15,2026-05-19,10
流溪河,广东,沙坑,和龙,05-19 08:00,34.4,-0.03,0,2026-05-19 21:38:15,2026-05-19,11
珠江,广东,沙河,显岗,05-19 08:00,20.97,-0.01,0,2026-05-19 21:38:15,2026-05-19,12
流溪河,广东,流溪河,黄龙带,05-19 08:00,160.16,0.04,0,2026-05-19 21:38:15,2026-05-19,13
珠江,广东,茅洲河,罗田,05-19 08:00,30.78,0.04,0,2026-05-19 21:38:15,2026-05-19,14
珠江,广东,西乡水,铁岗,05-19 08:00,22.79,-0.02,0,2026-05-19 21:38:15,2026-05-19,15
珠江,广东,南头河,西沥,01-21 08:00,27.34,,0,2026-05-19 21:38:15,2026-05-19,16
珠江,广东,深圳水,深圳,05-19 08:00,27.19,-0.05,0,2026-05-19 21:38:15,2026-05-19,17
珠江,广东,新洲河,梅林,05-19 08:00,49.59,,0,2026-05-19 21:38:15,2026-05-19,18
珠江,广东,龙岗河,松子坑,05-19 08:00,58.27,-0.02,0,2026-05-19 21:38:15,2026-05-19,19
珠江,广东,莲塘水,宝鸭仔,05-19 08:00,30.41,0.03,0,2026-05-19 21:38:15,2026-05-19,20
珠江,广东,沙坪水,四堡,05-19 08:00,63.75,0.01,0,2026-05-19 21:38:15,2026-05-19,21
珠江,广东,小隐涌,长江,05-19 08:00,22.4,0.02,0,2026-05-19 21:38:15,2026-05-19,22
珠江,广东,潭江,锦江,05-19 08:00,84.96,0.06,0,2026-05-19 21:38:15,2026-05-19,23
珠江,广东,鹤洲水,大沙河,05-19 08:00,30.56,0.09,0,2026-05-19 21:38:15,2026-05-19,24
珠江,广东,镇海水,镇海,05-19 08:00,23.18,0.04,1,2026-05-19 21:38:15,2026-05-19,0
珠江,广东,大镜山溪,大镜山,05-19 08:00,15.92,0.07,1,2026-05-19 21:38:15,2026-05-19,1
韩江,广东,五华河,益塘,05-19 08:00,145.71,0.02,1,2026-05-19 21:38:15,2026-05-19,2
韩江,广东,和山河,和山岩,05-19 08:00,151.77,-0.08,1,2026-05-19 21:38:15,2026-05-19,3
韩江,福建,汀江,棉花滩水库,05-19 08:00,161.59,0.07,1,2026-05-19 21:38:15,2026-05-19,4
韩江,广东,汀江,青溪,05-19 08:00,70.53,-1.47,1,2026-05-19 21:38:15,2026-05-19,5
