流域,行政区划,河名,库名,时间,库水位(米),日变幅(米),row_order_in_screen,report_date,crawl_time_local,screen_index
珠江,广东,西枝江,白盆珠,06-07 08:00,67.17,,0,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,二渡河,上板桥,06-07 08:00,266.23,,1,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,东江,七水库,06-07 08:00,79.85,-0.07,2,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,东江,红花湖,06-07 08:00,53.39,0.05,3,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,黄沙水,同沙,06-07 08:00,15.77,0.22,4,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,横岭水,鸡心石,06-07 08:00,46.8,0.1,5,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,稿树下水,稿树下,06-07 08:00,56.85,0.07,6,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,里波水,联和,06-07 08:00,49.2,0.43,7,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,增江,天堂山,06-07 08:00,135.11,0.16,8,2026-06-07,2026-06-07 13:48:57,0
流溪河,广东,流溪河,流溪河,06-07 08:00,224.19,0.09,9,2026-06-07,2026-06-07 13:48:57,0
流溪河,广东,天湖水库水,天湖,06-07 08:00,229.77,0.09,10,2026-06-07,2026-06-07 13:48:57,0
流溪河,广东,沙坑,和龙,06-07 08:00,34.86,0.13,11,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,沙河,显岗,06-07 08:00,20.53,0.08,12,2026-06-07,2026-06-07 13:48:57,0
流溪河,广东,流溪河,黄龙带,06-07 08:00,161.92,0.14,13,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,茅洲河,罗田,05-21 08:00,30.95,0.1,14,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,西乡水,铁岗,05-21 08:00,23.05,0.23,15,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,南头河,西沥,01-21 08:00,27.34,,16,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,深圳水,深圳,06-07 08:00,27.4,-0.15,17,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,新洲河,梅林,06-07 08:00,49.72,0.04,18,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,龙岗河,松子坑,06-07 08:00,58.7,0.05,19,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,莲塘水,宝鸭仔,06-07 08:00,32.07,-0.02,20,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,沙坪水,四堡,06-07 08:00,64.77,0.18,21,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,小隐涌,长江,06-07 08:00,23.89,0.01,22,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,潭江,锦江,06-07 08:00,90.3,-0.15,23,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,鹤洲水,大沙河,06-07 08:00,32.09,-0.01,24,2026-06-07,2026-06-07 13:48:57,0
珠江,广东,镇海水,镇海,06-07 08:00,23.92,-0.03,0,2026-06-07,2026-06-07 13:48:57,1
珠江,广东,大镜山溪,大镜山,06-07 08:00,16.44,0.04,1,2026-06-07,2026-06-07 13:48:57,1
韩江,广东,五华河,益塘,06-07 08:00,145.8,0.04,2,2026-06-07,2026-06-07 13:48:57,1
韩江,广东,和山河,和山岩,06-07 08:00,151.76,0.09,3,2026-06-07,2026-06-07 13:48:57,1
韩江,福建,汀江,棉花滩水库,06-07 08:00,163.31,-0.03,4,2026-06-07,2026-06-07 13:48:57,1
韩江,广东,汀江,青溪,06-07 08:00,70.76,0.39,5,2026-06-07,2026-06-07 13:48:57,1
韩江,广东,程江,梅西,06-07 08:00,163.63,-0.09,6,2026-06-07,2026-06-07 13:48:57,1
韩江,广东,凤凰溪,凤溪,06-07 08:00,412.6,-0.32,7,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,五经富水,龙颈（上）,06-07 08:00,87.64,0.08,8,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,五经富水,龙颈(下),06-07 08:00,53.21,-0.12,9,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,小龙溪,小龙溪,06-07 08:00,50.36,−0.03,10,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,龙溪水,龙溪一级,06-07 08:00,172.12,0.07,11,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,龙溪水,龙溪二级,06-07 08:00,55.4,0.01,12,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,锣鼓水,红场,06-07 08:00,243.22,0.11,13,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,金溪河,上金溪,06-07 08:00,84,0.02,14,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,三坑溪,上三坑,06-07 08:00,158.75,-0.15,15,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,练江,白沙溪,06-07 08:00,364.88,0.1,16,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,雷岭河,镇北,06-07 08:00,44.15,0.11,17,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,雷岭河,蜈蚣岭,06-07 08:00,44.64,0.07,18,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,黄江,朝面山,06-07 08:00,200.4,0.01,19,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,横江水,横江,06-07 08:00,64.42,0.03,20,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,练江,汤坑,06-07 08:00,44.6,0.05,21,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,练江,秋风岭,06-07 08:00,32.82,-0.04,22,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,龙江,龙潭,06-07 08:00,64.35,-0.08,23,2026-06-07,2026-06-07 13:48:57,1
粤东沿海诸河,广东,罗溪,石榴潭,06-07 08:00,34.11,0.11,24,2026-06-07,2026-06-07 13:48:57,1
