reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (TMC),dead_storage (TMC),frl (m),dam_height (m),year_built,main_use,data_type,source_agency,source_url,last_updated,detail_slug,location,data_period_start,data_period_end
IN_APWRIMS_nagarjuna_sagar_cdad2a5e,NAGARJUNA SAGAR,NAGARJUNA SAGAR,India,Andhra Pradesh / Telangana,Krishna,Krishna,16.576657,79.312144,312.05,112.18,180,,,"Irrigation,Power",in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:16,cdad2a5e-91ab-11e5-8994-feff819cdc9f,"Nalgonda, Khammam, Krishna, Guntur, Prakasam, W/Godavari",2026-05-07,2026-06-28
IN_APWRIMS_srisailam_r_cdad2e1e,SRISAILAM R,SRISAILAM R,India,Andhra Pradesh / Telangana,Krishna,Krishna,16.087039,78.896347,215.81,10.16,269.748,,,"Irrigation,Power",in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:17,cdad2e1e-91ab-11e5-8994-feff819cdc9f,"Kurnool, Cuddapah, Nellore, Chittoor",2026-05-08,2026-06-28
IN_APWRIMS_mylavaram_pennar_reservoir_1a837a05,MYLAVARAM(PENNAR) RESERVOIR,MYLAVARAM(PENNAR) RESERVOIR,India,Andhra Pradesh / Telangana,pennar,pennar,14.849349,78.340751,6.5,0.59,201.65,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:18,1a837a05-e220-4554-a444-d62a31f40dcc,kadapa,2026-05-13,2026-06-28
IN_APWRIMS_prakasam_barrage_13c7d756,PRAKASAM BARRAGE,PRAKASAM BARRAGE,India,Andhra Pradesh / Telangana,Krishna,krishna,16.507003,80.604956,3.071,0.78,22.128,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:19,13c7d756-b5a5-4938-bc90-f380c1bdf324,"krishna,guntur,west godavari",2026-05-07,2026-06-28
IN_APWRIMS_muniyeru_project_418aa16b,MUNIYERU PROJECT,MUNIYERU PROJECT,India,Andhra Pradesh / Telangana,munniyeru,Krishna,17.015175,80.169042,0.13,0,71.7,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:20,418aa16b-ceaa-4ec0-9435-8383b9b61cbc,Krishna,2026-05-08,2026-06-28
IN_APWRIMS_pulichinthala_project_52f0e841,PULICHINTHALA PROJECT,PULICHINTHALA PROJECT,India,Andhra Pradesh / Telangana,Krishna,krishna,16.771356,80.055322,45.77,3.61,53.34,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:21,52f0e841-9f3f-4f08-9e2e-80782055ddcf,"krishna,guntur,west godavari,prakasham",2026-05-08,2026-06-28
IN_APWRIMS_thatipudi_reservoir_eeb82fe7,THATIPUDI RESERVOIR,THATIPUDI RESERVOIR,India,Andhra Pradesh / Telangana,Gosthani River,other,18.17231,83.19147,3.325,0.15,90.526,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:22,eeb82fe7-e68a-4c75-9eb7-456b2581083c,vizianagaram,2026-05-07,2026-06-28
IN_APWRIMS_andra_reservoir_0ee778a9,ANDRA RESERVOIR,ANDRA RESERVOIR,India,Andhra Pradesh / Telangana,andra,other,18.349539,83.197186,0.98,0.05,145.902,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:23,0ee778a9-845d-4235-b933-998f6803986b,Vizianagaram,2026-05-07,2026-06-28
IN_APWRIMS_peddagedda_reservoir_7ab12b05,PEDDAGEDDA RESERVOIR,PEDDAGEDDA RESERVOIR,India,Andhra Pradesh / Telangana,peddagedda,other,18.470622,83.112819,1.07,0.05,213.799,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:24,7ab12b05-aacb-43e4-b2b3-47b8c089367d,Vizianagaram,2026-05-07,2026-06-28
IN_APWRIMS_vengalraya_sagaram_57b13ab7,VENGALRAYA SAGARAM,VENGALRAYA SAGARAM,India,Andhra Pradesh / Telangana,Suvrnamukhi,other,18.623397,83.221506,1.679,0.19,160.998,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:25,57b13ab7-4d94-4962-b1f6-7046686a4257,"Vizianagaram,Srikakulam",2026-05-07,2026-06-28
IN_APWRIMS_vattigedda_reservoir_b972c684,VATTIGEDDA RESERVOIR,VATTIGEDDA RESERVOIR,India,Andhra Pradesh / Telangana,Nagavali,other,18.836408,83.589575,0.958,0.07,121.618,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:26,b972c684-1c96-4683-8d27-1735d3b983e9,Vizianagaram,2026-05-07,2026-06-28
IN_APWRIMS_rama_thirtham_72bbeb08,RAMA THIRTHAM,RAMA THIRTHAM,India,Andhra Pradesh / Telangana,NSP canal,other,15.616246,79.802598,1.569,0.26,85.344,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:27,72bbeb08-db07-4f24-a200-f5aeb92a86ac,Prakasam,2026-05-09,2026-06-28
IN_APWRIMS_thotapalli_regulator_barrage_cb4a8d34,THOTAPALLI REGULATOR / BARRAGE,THOTAPALLI REGULATOR / BARRAGE,India,Andhra Pradesh / Telangana,Nagavali,other,18.784372,83.49609,2.534,0.4,104.851,,,Irrigation,in_situ,APWRIMS,https://apwrims.ap.gov.in/,2026-06-28 19:12:28,cb4a8d34-5463-40af-8bea-976b10d1705a,Vizianagaram,2026-05-07,2026-06-28
