obs_fcd,dam_jp,dam_kana,pref,town,river,operator,latitude,longitude,address,normal_high_stage_m,min_stage_m
0025700700001,美唄ダム,びばいだむ,北海道道央,美唄市,美唄川,空知総合振興局札幌建管,43.3533333,141.9797222,北海道美唄市字美唄,247.7,244.7
0025700700002,栗山ダム,くりやまだむ,北海道道央,夕張郡栗山町,ポンウエンベツ川,空知総合振興局札幌建管,43.0750278,141.8553333,北海道夕張郡栗山町桜山,76.6,72.5
0025700700003,徳富ダム,とっぷだむ,北海道道央,樺戸郡新十津川町,徳富川,空知総合振興局札幌建管,43.5980556,141.62,北海道樺戸郡新十津川町字トップ1番10,306.5,271.8
0025700700004,当別ダム,とうべつだむ,北海道道央,石狩郡当別町,当別川,空知総合振興局札幌建管,43.3177083,141.5628583,北海道石狩郡当別町字青山,57.2,43.5
0025700700101,新中野ダム,しんなかのだむ,北海道道南,函館市,亀田川,渡島総合振興局函館建管,41.8702778,140.7858333,北海道函館市亀田大森町,261.2,242.7
0025700700102,矢別ダム,やべつだむ,北海道道南,函館市,汐泊川,渡島総合振興局函館建管,41.8388889,140.9080556,北海道函館市紅葉山町,104.1,104.1
0025700700103,上ノ国ダム,かみのくにだむ,北海道道南,檜山郡上ノ国町,目名川,渡島総合振興局函館建管,41.8025,140.1847222,北海道檜山郡上ノ国町字内郷,88.6,74.9
0025700700161,高見ダム,たかみだむ,北海道道南,沙流郡日高町,静内川,胆振総合振興局室蘭建管,42.4575,142.6375,北海道日高郡新ひだか町字静内高見,221,195
0025700700162,様似ダム,さまにだむ,北海道道南,様似郡様似町,様似川,胆振総合振興局室蘭建管,42.185,142.9594444,北海道様似郡様似町新富,57,57
0025700700163,浦河ダム,うらかわだむ,北海道道南,浦河郡浦河町,向別川,胆振総合振興局室蘭建管,42.2388889,142.8244444,北海道浦河郡浦河町字上向別,65,60.6
0025700700164,厚幌ダム,あっぽろだむ,北海道道南,勇払郡厚真町,厚真川,胆振総合振興局室蘭建管,42.7663889,141.9933333,北海道勇払郡厚真町字幌内506-9地先,85.4,64
0025700700281,佐幌ダム,さほろだむ,北海道道東,上川郡新得町,佐幌川,十勝総合振興局帯広建管,43.17,142.8377778,北海道上川郡新得町字新内,277.5,277.5
0025700700341,庶路ダム,しょろだむ,北海道道東,白糠郡白糠町,庶路川,釧路総合振興局釧路建管,43.1722222,143.9858333,北海道白糠郡白糠町字滝の上,177.8,171.3
0025700700381,朝里ダム,あさりだむ,北海道道央,小樽市,朝里川,後志総合振興局小樽建管,43.1333333,141.0416667,北海道小樽市朝里川温泉2丁目,197.1,177.3
0025700700441,愛別ダム,あいべつだむ,北海道道北,上川郡愛別町,狩布川,上川総合振興局旭川建管,43.9561111,142.6358333,北海道上川郡愛別町協和,277.9,271.7
0025700700442,西岡ダム,にしおかだむ,北海道道北,上川郡剣淵町,小沢川,上川総合振興局旭川建管,44.0630556,142.2972222,北海道上川郡剣淵町南桜町,209.7,207.4
0025700700501,有明ダム,ありあけだむ,北海道道北,苫前郡初山別村,茂築別川,留萌振興局留萌建管,44.4022222,141.8461111,北海道苫前郡初山別村有明,88,84.4
