reservoir_id,reservoir_name,date,Storage Rate (%),Storage Volume (千m^3),Inflow (m^3/s),Outflow (m^3/s)
JP_OPENGOV_agikawa,阿木川ダム,2025-06-03,61.5,27047,,
JP_OPENGOV_aha,安波ダム,2025-06-03,95.5,13633,,
JP_OPENGOV_aimata-5090,相俣ダム,2025-06-03,86.2,17253,,
JP_OPENGOV_asaseishikawa,浅瀬石川ダム,2025-06-03,78.8,27009,,
JP_OPENGOV_chouankuchi,長安口ダム,2025-06-03,84.4,28499,,
JP_OPENGOV_chuubetsu-5190,忠別ダム,2025-06-03,84.1,51204,,
JP_OPENGOV_dono,殿ダム,2025-06-03,94.2,5066,,
JP_OPENGOV_egawa,江川ダム,2025-06-03,86.3,20716,,
JP_OPENGOV_fujiwara-5030,藤原ダム,2025-06-03,93.8,29089,,
JP_OPENGOV_fukuchi,福地ダム,2025-06-03,98,43727,,
JP_OPENGOV_funkawa,普久川ダム,2025-06-03,57.3,586,,
JP_OPENGOV_futase,二瀬ダム,2025-06-03,65,12493,,
JP_OPENGOV_gassan,月山ダム,2025-06-03,97.1,17478,,
JP_OPENGOV_gosho,御所ダム,2025-06-03,45.6,14998,,
JP_OPENGOV_hachitsuba,八ッ場ダム,2025-06-03,80.5,72453,,
JP_OPENGOV_haizuka,灰塚ダム,2025-06-03,100,10308,,
JP_OPENGOV_haji,土師ダム,2025-06-03,30.2,10240,,
JP_OPENGOV_haneji,羽地ダム,2025-06-03,92.9,15050,,
JP_OPENGOV_hasu,蓮ダム,2025-06-03,41.8,11876,,
JP_OPENGOV_hattahara,八田原ダム,2025-06-03,98.8,22594,,
JP_OPENGOV_hennoki,辺野喜ダム,2025-06-03,82.2,1772,,
JP_OPENGOV_hinachidamu-kikou,比奈知ダム(機構),2025-06-03,68.9,10542,,
JP_OPENGOV_hiyoshidamu-kikou,日吉ダム(機構),2025-06-03,58.4,21037,,
JP_OPENGOV_ichikodamu-kikou,一庫ダム(機構),2025-06-03,62.7,16816,,
JP_OPENGOV_ikari,五十里ダム,2025-06-03,51.7,15454,,
JP_OPENGOV_isawa,胆沢ダム,2025-06-03,100,88204,,
JP_OPENGOV_ishitekawa,石手川ダム,2025-06-03,100,6324,,
JP_OPENGOV_iwaonai,岩尾内ダム,2025-06-03,82.1,79740,,
JP_OPENGOV_iwaya,岩屋ダム,2025-06-03,55.5,83241,,
JP_OPENGOV_iyasaka,弥栄ダム,2025-06-03,98.2,47142,,
JP_OPENGOV_izarigawa,漁川ダム,2025-06-03,75.3,2860,,
JP_OPENGOV_jouzankei,定山渓ダム,2025-06-03,92.9,53298,,
