site,dam_jp,variable,value,observed_at
Hyogo,一庫ダム,capacity_usable_mcm,13.3,2026-09-07
Hyogo,呑吐ダム,capacity_usable_mcm,17.8,2026-09-07
Hyogo,大川瀬ダム,capacity_usable_mcm,8.15,2026-09-07
Hyogo,平荘ダム,capacity_usable_mcm,9.0,2026-09-07
Hyogo,引原ダム,capacity_usable_mcm,15.93,2026-09-07
Hyogo,権現ダム,capacity_usable_mcm,11.0,2026-09-07
Hyogo,生野ダム,capacity_usable_mcm,13.8,2026-09-07
Hyogo,神谷ダム,capacity_usable_mcm,16.1,2026-09-07
Hyogo,青野ダム,capacity_usable_mcm,9.3,2026-09-07
Hyogo,黒川ダム,capacity_usable_mcm,3.98,2026-09-07
JWA_ToneArakawa,4ダム合計,capacity_usable_mcm,67.29,2026-09-11T00:00
JWA_ToneArakawa,9ダム合計,capacity_usable_mcm,368.49,2026-09-11T00:00
JWA_ToneArakawa,下久保ダム,capacity_usable_mcm,85.0,2026-09-11T00:00
JWA_ToneArakawa,二瀬ダム,capacity_usable_mcm,1.69,2026-09-11T00:00
JWA_ToneArakawa,八ッ場ダム,capacity_usable_mcm,25.0,2026-09-11T00:00
JWA_ToneArakawa,奈良俣ダム,capacity_usable_mcm,74.39,2026-09-11T00:00
JWA_ToneArakawa,浦山ダム,capacity_usable_mcm,33.0,2026-09-11T00:00
JWA_ToneArakawa,滝沢ダム,capacity_usable_mcm,25.0,2026-09-11T00:00
JWA_ToneArakawa,相俣ダム,capacity_usable_mcm,10.6,2026-09-11T00:00
JWA_ToneArakawa,矢木沢ダム,capacity_usable_mcm,115.5,2026-09-11T00:00
JWA_ToneArakawa,草木ダム,capacity_usable_mcm,30.5,2026-09-11T00:00
JWA_ToneArakawa,薗原ダム,capacity_usable_mcm,3.0,2026-09-11T00:00
JWA_ToneArakawa,藤原ダム,capacity_usable_mcm,12.3,2026-09-11T00:00
