station_id,station_name,station_type,country,admin_unit,division,river_basin,lat,lon,normal_level (m),alert_level (m),warning_level (m),danger_level (m),wl_datum (based on),source_agency,source_url,last_updated
MY_DIDSRWK_101001,Upper Sungai Staat,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.377444444,110.2061389,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101002,Batu Kitang Telemetry,Combine,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.452416667,110.2822778,1.85,3.00,4.50,5.00,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101003,Pang Tebang,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.270916667,110.0866667,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101004,Bau,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.417666667,110.1531667,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101005,Kampung Sagah,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.532194444,110.2111944,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101006,Kuching Airport,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.490398,110.352659,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101008,Kuching Saberkas,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.53673,110.34037,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101011,Bako Causeway,Rainfall,Malaysia,Sarawak,Kuching,Sungai Santubong,1.5995,110.401944444444,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101012,Kuching City South,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.552472222,110.3595833,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101013,Sebubut,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sibu Laut,1.579861111,110.22125,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101014,Telok Assam,Rainfall,Malaysia,Sarawak,Kuching,Sungai Santubong,1.717092,110.44499,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101015,Buntal DID,Rainfall,Malaysia,Sarawak,Kuching,Sungai Santubong,1.70127777777777,110.365194444444,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101016,Rampangi,Combine,Malaysia,Sarawak,Kuching,Sungai Santubong,1.67808333333333,110.336999999999,,1.50,1.90,2.50,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101017,Sungai Rayu,Combine,Malaysia,Sarawak,Kuching,Batang Rambungan,1.612805556,110.152,1.98,12.60,12.80,13.00,Assumed Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101018,Mid Sungai Kuap,Combine,Malaysia,Sarawak,Samarahan,Sungai Sarawak,1.49816,110.39701,,3.00,3.30,3.80,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101019,Sibu Laut,Combine,Malaysia,Sarawak,Kuching,Sungai Sibu Laut,1.676861111,110.2032778,,2.50,2.60,2.80,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101020,Desa Wira,Water,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.51036111111111,110.304416666666,0.53,2.50,3.00,3.50,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101021,Kuala Maong,Water,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.542246,110.311386,0.25,2.00,2.40,2.80,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101022,Central Park,Water,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.52386111111111,110.339555555555,0.51,2.50,3.00,3.50,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101023,Sejingkat,Water,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.58514,110.43757,,2.90,3.20,3.75,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101026,Kampung Salak,Water,Malaysia,Sarawak,Kuching,Batang Salak,1.665944444,110.2904444,,3.40,3.60,3.80,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101029,Siol JPS,Rainfall,Malaysia,Sarawak,Kuching,Sungai Santubong,1.603388889,110.3524444,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101030,Semariang Fisheries,Rainfall,Malaysia,Sarawak,Kuching,Batang Salak,1.60588888888888,110.323805555555,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101031,Kampung Git,Combine,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.35551,110.26669,4.74,12.29,12.79,13.29,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101032,Buan Bidi,Combine,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.39741,110.11652,11.51,16.47,17.07,18.07,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101034,Padawan,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.16261111111111,110.259138888888,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101035,Kampung Monggak,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.327138889,110.1081667,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101036,Kampung Opar,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.439638889,110.07125,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101037,Siniawan,Combine,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.446611111,110.2185833,1.05,5.50,6.20,7.20,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101038,Gedong,Combine,Malaysia,Sarawak,Samarahan,Batang Sadong,1.226183,110.694873,,4.82,5.90,6.30,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101039,Krusen,Combine,Malaysia,Sarawak,Serian,Batang Sadong,1.070277778,110.5014167,11.93,15.20,16.80,17.40,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101040,Meringgu,Water,Malaysia,Sarawak,Serian,Batang Sadong,1.050436,110.557054,11.92,15.00,16.00,16.50,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101041,Serian,Combine,Malaysia,Sarawak,Serian,Batang Sadong,1.159833333,110.5698333,4.49,8.30,8.60,9.00,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101042,Tebedu,Rainfall,Malaysia,Sarawak,Serian,Batang Sadong,1.024666667,110.3631667,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101043,Bunan Gega,Rainfall,Malaysia,Sarawak,Serian,Batang Sadong,0.915972222,110.5408889,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101044,Semban,Rainfall,Malaysia,Sarawak,Kuching,Sungai Sarawak,1.230916667,110.1831389,,,,,,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
MY_DIDSRWK_101045,Kuala Tatau,Combine,Malaysia,Sarawak,Bintulu,Batang Tatau,3.080861111,112.8065278,,0.75,1.05,1.35,Mean Sea Level,DID Sarawak (iHydro),https://ihydro.sarawak.gov.my/,2026-04-25 14:56:16
