bulletin_date,dam,variable,value,flag
2024-07-08,BONDELS,change_since_last_mcm,-0.021,
2024-07-08,BONDELS,full_supply_capacity_mcm,1.103,
2024-07-08,BONDELS,full_supply_level_masl,947.56,
2024-07-08,BONDELS,lowest_abstraction_capacity_mcm,0.007,
2024-07-08,BONDELS,lowest_abstraction_level_masl,944.70,
2024-07-08,BONDELS,storage_mcm,0.335,
2024-07-08,BONDELS,storage_pct,30.3,
2024-07-08,BONDELS,water_level_masl,946.28,
2024-07-08,DAAN VILJOEN,change_since_last_mcm,0.000,
2024-07-08,DAAN VILJOEN,full_supply_capacity_mcm,0.429,
2024-07-08,DAAN VILJOEN,full_supply_level_masl,1432.22,
2024-07-08,DAAN VILJOEN,lowest_abstraction_capacity_mcm,0.000,
2024-07-08,DAAN VILJOEN,lowest_abstraction_level_masl,1426.00,
2024-07-08,DAAN VILJOEN,storage_mcm,0.008,
2024-07-08,DAAN VILJOEN,storage_pct,1.8,
2024-07-08,DAAN VILJOEN,water_level_masl,1427.30,
2024-07-08,DREIHUK,change_since_last_mcm,-0.041,
2024-07-08,DREIHUK,full_supply_capacity_mcm,15.493,
2024-07-08,DREIHUK,full_supply_level_masl,895.00,
2024-07-08,DREIHUK,lowest_abstraction_capacity_mcm,0.206,
2024-07-08,DREIHUK,lowest_abstraction_level_masl,884.13,
2024-07-08,DREIHUK,storage_mcm,2.391,
2024-07-08,DREIHUK,storage_pct,15.4,
2024-07-08,DREIHUK,water_level_masl,888.76,
2024-07-08,FRIEDENAU,change_since_last_mcm,-0.021,
2024-07-08,FRIEDENAU,full_supply_capacity_mcm,6.723,
2024-07-08,FRIEDENAU,full_supply_level_masl,1649.21,
2024-07-08,FRIEDENAU,lowest_abstraction_capacity_mcm,0.391,
2024-07-08,FRIEDENAU,lowest_abstraction_level_masl,1633.50,
2024-07-08,FRIEDENAU,storage_mcm,3.540,
2024-07-08,FRIEDENAU,storage_pct,52.7,
2024-07-08,FRIEDENAU,water_level_masl,1644.46,
2024-07-08,GOREANGAB,change_since_last_mcm,0.019,
2024-07-08,GOREANGAB,full_supply_capacity_mcm,3.621,
2024-07-08,GOREANGAB,full_supply_level_masl,1585.31,
2024-07-08,GOREANGAB,lowest_abstraction_capacity_mcm,0.010,
2024-07-08,GOREANGAB,lowest_abstraction_level_masl,1574.31,
2024-07-08,GOREANGAB,storage_mcm,3.630,
2024-07-08,GOREANGAB,storage_pct,100.3,
2024-07-08,GOREANGAB,water_level_masl,1585.34,
2024-07-08,HARDAP,change_since_last_mcm,-0.458,
2024-07-08,HARDAP,full_supply_capacity_mcm,294.593,
2024-07-08,HARDAP,full_supply_level_masl,1135.00,
2024-07-08,HARDAP,irrigation_capacity_mcm,18.952,
2024-07-08,HARDAP,irrigation_level_masl,1118.46,
2024-07-08,HARDAP,lowest_abstraction_capacity_mcm,4.299,
2024-07-08,HARDAP,lowest_abstraction_level_masl,1114.80,
2024-07-08,HARDAP,storage_mcm,29.961,
2024-07-08,HARDAP,storage_pct,10.2,
2024-07-08,HARDAP,water_level_masl,1120.12,
2024-07-08,NAUTE,change_since_last_mcm,-0.248,
2024-07-08,NAUTE,full_supply_capacity_mcm,83.580,
2024-07-08,NAUTE,full_supply_level_masl,732.00,
2024-07-08,NAUTE,lowest_abstraction_capacity_mcm,1.320,
2024-07-08,NAUTE,lowest_abstraction_level_masl,711.30,
2024-07-08,NAUTE,storage_mcm,36.012,
2024-07-08,NAUTE,storage_pct,43.1,
2024-07-08,NAUTE,water_level_masl,726.29,
2024-07-08,NECKARTAL,change_since_last_mcm,-1.456,
2024-07-08,NECKARTAL,full_supply_capacity_mcm,857.417,
2024-07-08,NECKARTAL,full_supply_level_masl,787.50,
2024-07-08,NECKARTAL,irrigation_capacity_mcm,48.640,
2024-07-08,NECKARTAL,irrigation_level_masl,745.00,
2024-07-08,NECKARTAL,lowest_abstraction_capacity_mcm,2.590,
2024-07-08,NECKARTAL,lowest_abstraction_level_masl,730.00,
2024-07-08,NECKARTAL,storage_mcm,697.671,
2024-07-08,NECKARTAL,storage_pct,81.4,
2024-07-08,NECKARTAL,water_level_masl,783.11,
2024-07-08,OANOB,change_since_last_mcm,-0.084,
2024-07-08,OANOB,full_supply_capacity_mcm,34.505,
2024-07-08,OANOB,full_supply_level_masl,1453.00,
2024-07-08,OANOB,lowest_abstraction_capacity_mcm,0.417,
2024-07-08,OANOB,lowest_abstraction_level_masl,1424.50,
2024-07-08,OANOB,storage_mcm,13.683,
2024-07-08,OANOB,storage_pct,39.7,
2024-07-08,OANOB,water_level_masl,1444.59,
2024-07-08,OLUSHANDJA,change_since_last_mcm,1.471,
2024-07-08,OLUSHANDJA,full_supply_capacity_mcm,45.641,
2024-07-08,OLUSHANDJA,full_supply_level_masl,1106.02,
2024-07-08,OLUSHANDJA,lowest_abstraction_capacity_mcm,1.258,
2024-07-08,OLUSHANDJA,lowest_abstraction_level_masl,1103.00,
2024-07-08,OLUSHANDJA,storage_mcm,21.294,
2024-07-08,OLUSHANDJA,storage_pct,46.7,
2024-07-08,OLUSHANDJA,water_level_masl,1105.00,
2024-07-08,OMARURU DELTA,change_since_last_mcm,0.000,
2024-07-08,OMARURU DELTA,full_supply_capacity_mcm,35.203,
2024-07-08,OMARURU DELTA,full_supply_level_masl,262.20,
2024-07-08,OMARURU DELTA,lowest_abstraction_capacity_mcm,0.000,
2024-07-08,OMARURU DELTA,lowest_abstraction_level_masl,242.96,
2024-07-08,OMARURU DELTA,storage_mcm,0.000,
2024-07-08,OMARURU DELTA,storage_pct,0.0,
2024-07-08,OMATAKO,change_since_last_mcm,-0.063,
2024-07-08,OMATAKO,full_supply_capacity_mcm,43.499,
2024-07-08,OMATAKO,full_supply_level_masl,1359.00,
2024-07-08,OMATAKO,lowest_abstraction_capacity_mcm,4.073,
2024-07-08,OMATAKO,lowest_abstraction_level_masl,1353.20,
2024-07-08,OMATAKO,storage_mcm,0.000,
2024-07-08,OMATAKO,storage_pct,0.0,
2024-07-08,OMATJENNE,change_since_last_mcm,0.000,
2024-07-08,OMATJENNE,full_supply_capacity_mcm,5.063,
2024-07-08,OMATJENNE,full_supply_level_masl,1362.92,
2024-07-08,OMATJENNE,lowest_abstraction_capacity_mcm,0.000,
2024-07-08,OMATJENNE,storage_mcm,0.000,
2024-07-08,OMATJENNE,storage_pct,0.0,
2024-07-08,OTJIVERO MAIN,change_since_last_mcm,0.002,
2024-07-08,OTJIVERO MAIN,full_supply_capacity_mcm,9.808,
2024-07-08,OTJIVERO MAIN,full_supply_level_masl,1575.50,
2024-07-08,OTJIVERO MAIN,lowest_abstraction_capacity_mcm,0.066,
2024-07-08,OTJIVERO MAIN,lowest_abstraction_level_masl,1561.15,
2024-07-08,OTJIVERO MAIN,storage_mcm,0.337,
2024-07-08,OTJIVERO MAIN,storage_pct,3.4,
2024-07-08,OTJIVERO MAIN,water_level_masl,1563.48,
2024-07-08,OTJIVERO SILT,change_since_last_mcm,-0.007,
2024-07-08,OTJIVERO SILT,full_supply_capacity_mcm,7.795,
2024-07-08,OTJIVERO SILT,full_supply_level_masl,1576.00,
2024-07-08,OTJIVERO SILT,lowest_abstraction_capacity_mcm,0.096,
2024-07-08,OTJIVERO SILT,lowest_abstraction_level_masl,1568.98,
2024-07-08,OTJIVERO SILT,storage_mcm,0.060,
2024-07-08,OTJIVERO SILT,storage_pct,0.8,
2024-07-08,OTJIVERO SILT,water_level_masl,1568.47,
2024-07-08,SWAKOPPOORT,change_since_last_mcm,-0.322,
2024-07-08,SWAKOPPOORT,full_supply_capacity_mcm,63.489,
2024-07-08,SWAKOPPOORT,full_supply_level_masl,1135.00,
2024-07-08,SWAKOPPOORT,lowest_abstraction_capacity_mcm,2.926,
2024-07-08,SWAKOPPOORT,lowest_abstraction_level_masl,1119.60,
2024-07-08,SWAKOPPOORT,storage_mcm,18.956,
2024-07-08,SWAKOPPOORT,storage_pct,29.9,
2024-07-08,SWAKOPPOORT,water_level_masl,1126.60,
2024-07-08,TILDA VILJOEN,change_since_last_mcm,-0.002,
2024-07-08,TILDA VILJOEN,full_supply_capacity_mcm,1.224,
2024-07-08,TILDA VILJOEN,full_supply_level_masl,1436.04,
2024-07-08,TILDA VILJOEN,lowest_abstraction_capacity_mcm,0.028,
2024-07-08,TILDA VILJOEN,lowest_abstraction_level_masl,1425.71,
2024-07-08,TILDA VILJOEN,storage_mcm,0.053,
2024-07-08,TILDA VILJOEN,storage_pct,4.3,
2024-07-08,TILDA VILJOEN,water_level_masl,1426.34,
2024-07-08,VON BACH,change_since_last_mcm,0.017,
2024-07-08,VON BACH,full_supply_capacity_mcm,47.525,
2024-07-08,VON BACH,full_supply_level_masl,1350.00,
2024-07-08,VON BACH,lowest_abstraction_capacity_mcm,3.491,
2024-07-08,VON BACH,lowest_abstraction_level_masl,1331.27,
2024-07-08,VON BACH,storage_mcm,5.461,
2024-07-08,VON BACH,storage_pct,11.5,
2024-07-08,VON BACH,water_level_masl,1333.93,
