reservoir_id,reservoir_name,date,observation_time,"Reservoir Water Level (RWL, m)","Water Level Deviation (24hr, m)","Normal High Water Level (NHWL, m)",Deviation from NHWL (m),Rule Curve Elevation (m),Deviation from Rule Curve (m),Gate Opening (gates),Gate Opening (meters),Inflow (cms),Outflow (cms)
PH_PAGASA_ambuklao,Ambuklao Dam,2022-08-04,06:00 AM,745.96,0.53,752.00,-6.04,745.00,0.96,,,,
PH_PAGASA_ambuklao,Ambuklao Dam,2022-08-04,06:00 am,745.96,,752.00,-6.04,745.00,0.96,,,,
PH_PAGASA_angat,Angat Dam,2022-08-04,06:00 AM,177.27,-0.22,210.00,-32.73,180.45,-3.18,,,,
PH_PAGASA_angat,Angat Dam,2022-08-04,06:00 am,177.27,,210.00,-32.73,180.45,-3.18,,,,
PH_PAGASA_binga,Binga Dam,2022-08-04,06:00 AM,572.29,-1.20,575.00,-2.71,565.00,7.29,,,,
PH_PAGASA_binga,Binga Dam,2022-08-04,06:00 am,572.29,,575.00,-2.71,565.00,7.29,,,,
PH_PAGASA_caliraya,Caliraya Dam,2022-08-04,06:00 AM,287.44,-0.21,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_caliraya,Caliraya Dam,2022-08-04,06:00 am,287.44,,0.00,0.00,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2022-08-04,06:00 AM,100.68,0.04,101.00,-0.32,0.00,0.00,,,,
PH_PAGASA_ipo,Ipo Dam,2022-08-04,06:00 am,100.68,,101.00,-0.32,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2022-08-04,06:00 AM,79.40,0.03,80.15,-0.75,0.00,0.00,,,,
PH_PAGASA_la_mesa,La Mesa Dam,2022-08-04,06:00 am,79.40,,80.15,-0.75,0.00,0.00,,,,
PH_PAGASA_magat,Magat,2022-08-04,06:00 AM,188.43,0.02,190.00,-1.57,179.19,9.24,,,,
PH_PAGASA_magat,Magat,2022-08-04,06:00 am,188.43,,190.00,-1.57,179.19,9.24,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2022-08-04,06:00 AM,181.34,0.08,216.00,-34.66,209.12,-27.78,,,,
PH_PAGASA_pantabangan,Pantabangan Dam,2022-08-04,06:00 am,181.34,,216.00,-34.66,209.12,-27.78,,,,
PH_PAGASA_san_roque,San Roque Dam,2022-08-04,06:00 AM,233.53,-0.02,280.00,-46.47,240.14,-6.61,,,,
PH_PAGASA_san_roque,San Roque Dam,2022-08-04,06:00 am,233.53,,280.00,-46.47,240.14,-6.61,,,,
