measurement_date,reservoir_id,reservoir_name,capacity_ml,storage_pct,storage_ml,reading_kind,fetched_at
2026-07-27,ZA_CCT_BERG_RIVER,Berg River,130010,89.3,116098.9,previous_week,2026-08-04 09:34:02Z
2026-07-27,ZA_CCT_STEENBRAS_LOWER,Steenbras Lower,33517,55.7,18669.0,previous_week,2026-08-04 09:34:02Z
2026-07-27,ZA_CCT_STEENBRAS_UPPER,Steenbras Upper,31767,100.2,31830.5,previous_week,2026-08-04 09:34:02Z
2026-07-27,ZA_CCT_THEEWATERSKLOOF,Theewaterskloof,480188,78.9,378868.3,previous_week,2026-08-04 09:34:02Z
2026-07-27,ZA_CCT_VOELVLEI,Voelvlei,164095,61.9,101574.8,previous_week,2026-08-04 09:34:02Z
2026-07-27,ZA_CCT_WEMMERSHOEK,Wemmershoek,58644,100,58644.0,previous_week,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_BERG_RIVER,Berg River,130010,90,117009.0,current,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_STEENBRAS_LOWER,Steenbras Lower,33517,53.9,18065.7,current,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_STEENBRAS_UPPER,Steenbras Upper,31767,99.2,31512.9,current,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_THEEWATERSKLOOF,Theewaterskloof,480188,78.2,375507.0,current,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_VOELVLEI,Voelvlei,164095,61.9,101574.8,current,2026-08-04 09:34:02Z
2026-08-03,ZA_CCT_WEMMERSHOEK,Wemmershoek,58644,99.3,58233.5,current,2026-08-04 09:34:02Z
