date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20260622,A1R001,Ngotwane,Ngotwane,1,NW,,19.03,17.5,,,91.9,DC38
20260622,A2R001,Hartbeespoort,Krokodil,1,NW,CW,185.79,185.4,,,99.8,DC37
20260622,A2R002,BonAccord,Apies,1,G,,4.38,4.6,,,104.2,TSH
20260622,A2R003,Olifantsnek,Hex,1,NW,,13.68,13.8,,,100.6,DC37
20260622,A2R004,Rietvlei,Hennops,1,G,CW,12.25,12.2,,,99.7,TSH
20260622,A2R005,Buffelspoort,Sterkstroom,1,NW,,10.18,10.3,,,100.8,DC37
20260622,A2R006,Bospoort,Hex,1,NW,CW,15.8,16.1,,,102.2,DC37
20260622,A2R007,Lindleyspoort,Elands,1,NW,,14.21,14.3,,,100.4,DC37
20260622,A2R008,~Warmbad,Buffelspruit,1,LP,,0.55,0.6,,,102.8,DC36
20260622,A2R009,Roodeplaat,Pienaars,1,G,CW,41.16,41.4,,,100.5,TSH
20260622,A2R011,Kosterrivier,Koster,1,NW,,12.42,12.5,,,100.8,DC37
20260622,A2R012,Klipvoor,Pienaars,1,NW,CW,40.73,41.5,,,102,DC37
20260622,A2R013,Swartruggens,Elands,1,NW,,0.47,0.5,,,103.1,DC37
20260622,A2R014,Vaalkop,Elands,1,NW,CW,51.32,52.8,,,102.9,DC37
20260622,A2R015,Roodekopjes,Krokodil,1,NW,CW,96.35,100.1,,,103.9,DC37
20260622,A2R018,Middelkraal,Maretlwane,1,NW,,0.74,0.7,,,100,DC37
20260622,A3R001,Marico-Bosveld,Groot-Marico,1,NW,,26.93,27.3,,,101.3,DC38
20260622,A3R002,Klein-Maricopoort,Klein Marico,1,NW,,7.23,7.4,,,101.7,DC38
20260622,A3R003,Kromellenboog,Klein Marico,1,NW,,8.65,8.8,,,101.8,DC38
20260622,A3R004,Molatedi,Groot-Marico,1,NW,,200.78,220.9,,,110,DC38
20260622,A3R005,Sehujwane,Sehujane,1,NW,,3.61,3.5,,,98,DC38
20260622,A3R006,Madikwe,Tholwane,1,NW,,15.94,17.2,,,107.7,DC37
20260622,A3R007,Pella,Lethlakane,1,NW,,2.11,1.7,,,78.9,DC37
20260622,A4R001,Mokolo,Mokolo,1,LP,,145.77,149.1,,,102.3,DC36
20260622,A6R001,Doorndraai,Sterk,1,LP,,44.93,44.8,,,99.7,DC36
20260622,A6R002,GlenAlpine,Mogalakwena,1,LP,,18.89,19.3,,,102,DC35
20260622,A7R002,Houtrivier,Hout,1,LP,,6.62,6.3,,,95.5,DC35
20260622,A8R001,Nzhelele,Nzhelele,1,LP,,51.23,51.8,,,101.1,DC34
20260622,A8R002,Luphephe,Luphephe,1,LP,,13.98,14.1,,,101.2,DC34
