date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20240422,A1R001,Ngotwane,Ngotwane,1,NW,,19.03,6.85,59.9,,36,DC38
20240422,A2R001,Hartbeespoort,Krokodil,1,NW,CW,185.79,182.31,99.7,,98.1,DC37
20240422,A2R002,BonAccord,Apies,1,G,,4.38,4.64,108.1,,106,TSH
20240422,A2R003,Olifantsnek,Hex,1,NW,,13.68,10.58,101.1,,77.3,DC37
20240422,A2R004,Rietvlei,Hennops,1,G,CW,12.25,12.27,101.2,,100.2,TSH
20240422,A2R005,Buffelspoort,Sterkstroom,1,NW,,10.18,10.24,100.5,,100.5,DC37
20240422,A2R006,Bospoort,Hex,1,NW,CW,15.8,16.06,103.1,,101.7,DC37
20240422,A2R007,Lindleyspoort,Elands,1,NW,,14.21,7.69,99.5,,54.1,DC37
20240422,A2R008,~Warmbad,Buffelspruit,1,LP,,0.55,0.56,101.6,,101.6,DC36
20240422,A2R009,Roodeplaat,Pienaars,1,G,CW,41.16,41.36,100.7,,100.5,TSH
20240422,A2R011,Kosterrivier,Koster,1,NW,,12.42,10.97,100.9,,88.3,DC37
20240422,A2R012,Klipvoor,Pienaars,1,NW,CW,40.73,41.04,99.8,,100.7,DC37
20240422,A2R013,Swartruggens,Elands,1,NW,,0.47,0.48,101.8,,101.2,DC37
20240422,A2R014,Vaalkop,Elands,1,NW,CW,51.32,36.68,86.2,,71.5,DC37
20240422,A2R015,Roodekopjes,Krokodil,1,NW,CW,96.35,99.49,102.9,,103.3,DC37
20240422,A2R018,Middelkraal,Maretlwane,1,NW,,0.74,0.63,100,,85.6,DC37
20240422,A3R001,Marico-Bosveld,Groot-Marico,1,NW,,26.93,10.09,100.7,,37.5,DC38
20240422,A3R002,Klein-Maricopoort,Klein Marico,1,NW,,7.23,4.95,89.1,,68.4,DC38
20240422,A3R003,Kromellenboog,Klein Marico,1,NW,,8.65,4.65,99.8,,53.8,DC38
20240422,A3R004,Molatedi,Groot-Marico,1,NW,,200.78,79.29,56.4,,39.5,DC38
20240422,A3R005,Sehujwane,Sehujane,1,NW,,3.61,3.55,92.8,,98.2,DC38
20240422,A3R006,Madikwe,Tholwane,1,NW,,15.94,6.07,54,,38.1,DC37
20240422,A3R007,Pella,Lethlakane,1,NW,,2.11,0.86,72.3,,40.6,DC37
20240422,A4R001,Mokolo,Mokolo,1,LP,,145.77,145.93,100.6,,100.1,DC36
20240422,A6R001,Doorndraai,Sterk,1,LP,,43.76,42.93,100.2,,98.1,DC36
20240422,A6R002,GlenAlpine,Mogalakwena,1,LP,,18.89,18.2,100.5,,96.4,DC35
