reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,dam_type,dam_height (m),dam_length (m),catchment_area (hectare),surface_area_frl (hectare),capacity_design_total (10^4 m^3),capacity_design_effective (10^4 m^3),capacity_current_total (10^4 m^3),capacity_current_effective (10^4 m^3),main_use,operator,last_capacity_survey_year_roc,coord_source,source_system,source_agency,source_url,last_updated
10201,石門水庫,,Taiwan,"桃園市龍潭區、
大溪區、復興區",淡水河支流大漢溪,臺灣北區,24.80634,121.30606,土石壩,133.1,360,76340,861.5,30912,25188,20455.9,20441.1,灌溉、公共給水、發電、防洪、觀光,經濟部水利署北區水資源分署,112.11,ressub:石門水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10203,西勢水庫,,Taiwan,基隆巿暖暖區,基隆河支流西勢溪,臺灣北區,25.08534,121.73503,混凝土重力壩,29.6,102.4,669,8.8,65.2,,37.9,37.8,公共給水,台灣自來水股份有限公司,110.07,ressub:西勢水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10204,新山水庫,,Taiwan,基隆巿安樂區,基隆河支流大武崙溪支流新山溪,臺灣北區,25.12902,121.70751,土石壩,66,262,160,50.9,1000,1000,1004.3,996,公共給水,台灣自來水股份有限公司,110.07,ressub:新山水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10205,翡翠水庫,,Taiwan,新北市新店區,新店溪支流北勢溪,臺灣北區,24.91343,121.62903,混凝土拱壩,122.5,510,30300,1024,40600,34409.3,37794.5,33347.3,公共給水、發電、防洪,臺北翡翠水庫管理局,112.12,ressub:翡翠水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10206,榮華壩,,Taiwan,,,,24.73062,121.35604,,,,,,,,,,,,,ressub:榮華壩,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10211,青潭堰,,Taiwan,,,,24.94035,121.54211,,,,,,,,,,,,,ressub:青潭壩,WRA Open Data,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10212,直潭壩,,Taiwan,新北市新店區,淡水河支流新店溪,臺灣北區,24.92431,121.53288,混凝土堰,20.8,117,67980,72.5,417.7,236,240.7,174.9,公共給水,臺北自來水事業處,109.07,ressub:直潭壩,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10401,寶山水庫,,Taiwan,新竹縣寶山鄉,頭前溪支流柴梳山溪、頭前溪支流上坪溪(越域取水),臺灣北區,24.74569,121.04836,滾壓式土壩,34.5,260,320,58.6,547,535,500.8,500.8,公共給水,台灣自來水股份有限公司,111.08,ressub:寶山水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10405,寶山第二水庫,,Taiwan,新竹縣寶山鄉,中港溪(越域取水－上坪溪),臺灣北區,24.72795,121.05568,中央心層分土壩,61,345,288,152,3218,3134,3226.5,3174.3,公共給水、工業用水,經濟部水利署北區水資源分署,110.03,ressub:寶山第二水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10501,永和山水庫,,Taiwan,苗栗縣頭份鎮、三灣鄉,中港溪支流北坑溝、中港溪支流南庄溪 (越域引水),臺灣中區,24.65342,120.92479,滾壓式土壩,62.5,340,480,176.6,2957.4,2910.2,3013.6,2993.4,公共給水、工業用水,台灣自來水股份有限公司,111.07,ressub:永和山水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10503,大埔水庫,,Taiwan,新竹縣峨眉鄉,中港溪支流峨眉溪,臺灣中區,24.68826,120.99899,混凝土重力壩,20.9,98.8,10000,110,925.8,796,513.3,507.6,灌溉、工業用水、防洪,農業部農田水利署,108.03,ressub:大埔水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
10601,明德水庫,,Taiwan,苗栗縣頭屋鄉,後龍溪支流老田寮溪,臺灣中區,24.58744,120.90363,滾壓式土壩,35.5,187,6108,162,1770,1650,1253,1251,公共給水、灌溉、工業用水、觀光,農業部農田水利署,112.12,ressub:明德水庫,opendata.wra.gov.tw Basic Information,WRA,https://data.gov.tw/en/datasets/45501,2026-04-25
