reservoir_id,reservoir_name,reservoir_name_en,country,admin_unit,river,basin,lat,lon,capacity_total (million m^3),storage_capacity (million m^3),usable_capacity (million m^3),dead_storage (million m^3),avg_year_inflow (million m^3/year),source_type,province,rid_office,project_name,source_agency,source_url,last_updated
200102,เขื่อนสิริกิติ์,,Thailand,เหนือ,,,17.7656,100.5646,10508.0,9510.0,6660.0,2850.0,5696.45,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200101,เขื่อนภูมิพล,,Thailand,เหนือ,,,17.247,98.971,13462.0,13462.0,9662.0,3800.0,5696.42,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100104,เขื่อนแม่กวงอุดมธารา,,Thailand,เหนือ,,,18.92348,99.121978,295.0,263.0,249.0,14.0,194.33,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100107,เขื่อนแควน้อยบำรุงแดน,,Thailand,เหนือ,,,17.023,100.327,1080.0,939.0,896.0,43.0,1511.64,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200103,เขื่อนแม่งัดสมบูรณ์ชล,,Thailand,เหนือ,,,19.16138,99.04011,323.0,265.0,253.0,12.0,23739.24,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100108,เขื่อนแม่มอก,,Thailand,เหนือ,,,17.20818657,99.42361467,110.0,110.0,94.1,15.9,201.67,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100105,เขื่อนกิ่วลม,,Thailand,เหนือ,,,18.5239,99.6239,106.22,106.22,102.67,3.55,577.52,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100106,เขื่อนกิ่วคอหมา,,Thailand,เหนือ,,,18.8,99.64,208.6,170.0,163.8,6.2,263.33,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200205,เขื่อนอุบลรัตน์,,Thailand,ตะวันออกเฉียงเหนือ,,,16.774,102.619,2431.0,2431.0,1850.0,581.0,2653.76,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200204,เขื่อนจุฬาภรณ์,,Thailand,ตะวันออกเฉียงเหนือ,,,16.5356,101.6493,181.0,164.0,127.0,37.0,171.81,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200203,เขื่อนน้ำพุง,,Thailand,ตะวันออกเฉียงเหนือ,,,16.977,103.9707,200.0,165.0,157.0,8.0,136.36,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
200212,เขื่อนสิรินธร,,Thailand,ตะวันออกเฉียงเหนือ,,,15.207,105.428,1966.0,1966.0,1134.62,831.38,1654.65,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100208,เขื่อนลำพระเพลิง,,Thailand,ตะวันออกเฉียงเหนือ,,,14.5944,101.8401,242.0,155.0,153.6,1.4,173.91,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100207,เขื่อนลำตะคอง,,Thailand,ตะวันออกเฉียงเหนือ,,,14.8652,101.5604,445.0,314.49,291.79,22.7,282.46,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100210,เขื่อนลำแชะ,,Thailand,ตะวันออกเฉียงเหนือ,,,14.4084,102.2836,325.0,275.0,268.0,7.0,203.31,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100201,เขื่อนห้วยหลวง,,Thailand,ตะวันออกเฉียงเหนือ,,,17.364,102.583,135.57,135.57,128.98,6.59,170.0,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100206,เขื่อนลำปาว,,Thailand,ตะวันออกเฉียงเหนือ,,,16.602595,103.441,2450.0,1980.0,1880.0,100.0,2255.04,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100211,เขื่อนลำนางรอง,,Thailand,ตะวันออกเฉียงเหนือ,,,14.3012,102.764,196.67,121.41,118.41,3.0,135.45,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100209,เขื่อนมูลบน,,Thailand,ตะวันออกเฉียงเหนือ,,,14.484,102.1474,350.0,141.0,134.0,7.0,99.21,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100202,เขื่อนน้ำอูน,,Thailand,ตะวันออกเฉียงเหนือ,,,17.3095,103.7428,780.0,520.0,475.0,45.0,447.59,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100301,เขื่อนป่าสักชลสิทธิ์,,Thailand,กลาง,,,14.8613,101.06615,960.0,960.0,957.0,3.0,2347.62,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100302,เขื่อนทับเสลา,,Thailand,กลาง,,,15.54369,99.4482,190.0,160.0,143.0,17.0,148.87,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
100303,เขื่อนกระเสียว,,Thailand,กลาง,,,14.835957,99.6645,390.0,299.0,259.0,40.0,328.18,large,,,,RID,https://app.rid.go.th/reservoir/,2026-04-22 07:36:15
