reservoir_id,reservoir_name,date,source_type,storage_current (million m^3),storage_pct_current (%),storage_prev_year_same_day (million m^3),storage_pct_prev_year_same_day (%),storage_jan1_current_year (million m^3),storage_jan1_prev_year (million m^3),inflow_daily (million m^3/day),inflow_ytd (million m^3),outflow_daily (million m^3/day),outflow_ytd (million m^3),usable_water_current (million m^3)
200102,เขื่อนสิริกิติ์,2025-09-04,large,8221.71,86.0,7448.71,78.0,8391.26,5689.0,50.25,6356.15,25.36,6295.71,
200101,เขื่อนภูมิพล,2025-09-04,large,9958.1,74.0,6411.5,48.0,10285.31,9947.0,85.69,4710.55,5.0,4722.14,
100104,เขื่อนแม่กวงอุดมธารา,2025-09-04,large,185.49,71.0,142.77,54.0,212.05,210.27,1.22,136.77,0.63,162.72,
100107,เขื่อนแควน้อยบำรุงแดน,2025-09-04,large,616.75,66.0,447.05,48.0,781.4,841.0,39.25,693.18,1.3,824.96,
200103,เขื่อนแม่งัดสมบูรณ์ชล,2025-09-04,large,202.74,77.0,228.33,86.0,284.3,285.73,1.6,255.21,0.46,326.05,
100108,เขื่อนแม่มอก,2025-09-04,large,113.92,104.0,45.0,41.0,83.4,93.9,2.61,129.56,3.59,99.74,
100105,เขื่อนกิ่วลม,2025-09-04,large,60.03,57.0,75.7,71.0,99.9,95.61,7.06,555.32,5.5,595.69,
100106,เขื่อนกิ่วคอหมา,2025-09-04,large,99.84,59.0,147.02,86.0,180.86,181.94,2.06,246.56,2.66,317.14,
200205,เขื่อนอุบลรัตน์,2025-09-04,large,1100.95,45.0,798.43,33.0,1810.27,2012.85,127.03,1621.04,5.21,1939.4,
200204,เขื่อนจุฬาภรณ์,2025-09-04,large,111.77,68.0,74.85,46.0,108.62,130.95,2.29,94.83,,50.48,
200203,เขื่อนน้ำพุง,2025-09-04,large,84.7,51.0,50.23,30.0,78.1,129.62,1.47,80.33,,51.74,
200212,เขื่อนสิรินธร,2025-09-04,large,1116.6,57.0,1180.95,60.0,1423.26,1590.28,1.63,655.86,1.03,486.05,
100208,เขื่อนลำพระเพลิง,2025-09-04,large,50.64,33.0,62.68,40.0,89.69,106.18,0.14,44.95,,74.74,
100207,เขื่อนลำตะคอง,2025-09-04,large,75.08,24.0,88.13,28.0,93.55,182.0,0.08,63.37,0.09,45.68,
100210,เขื่อนลำแชะ,2025-09-04,large,160.48,58.0,121.34,44.0,148.45,147.0,1.18,102.79,1.24,70.16,
100201,เขื่อนห้วยหลวง,2025-09-04,large,103.97,77.0,120.07,89.0,98.39,106.32,12.06,160.96,0.23,142.23,
100206,เขื่อนลำปาว,2025-09-04,large,1197.8,60.0,1222.1,62.0,1642.47,1771.84,39.18,1657.8,7.86,1864.32,
100211,เขื่อนลำนางรอง,2025-09-04,large,29.82,25.0,46.39,38.0,43.66,73.86,0.29,12.97,,10.67,
100209,เขื่อนมูลบน,2025-09-04,large,56.66,40.0,65.7,47.0,80.46,83.0,0.12,39.11,0.52,56.09,
100202,เขื่อนน้ำอูน,2025-09-04,large,453.06,87.0,357.5,69.0,394.0,407.0,7.63,467.56,3.39,320.43,
100301,เขื่อนป่าสักชลสิทธิ์,2025-09-04,large,343.61,36.0,271.6,28.0,764.3,802.5,14.64,476.07,13.83,769.48,
100302,เขื่อนทับเสลา,2025-09-04,large,28.09,18.0,35.59,22.0,64.04,71.67,0.51,15.26,,50.04,
100303,เขื่อนกระเสียว,2025-09-04,large,103.3,35.0,83.0,28.0,204.94,95.44,0.49,115.82,1.28,179.15,
200402,เขื่อนวชิราลงกรณ,2025-09-04,large,6901.32,78.0,6861.01,77.0,7312.2,7547.72,31.66,3770.28,14.01,3885.04,
200401,เขื่อนศรีนครินทร์,2025-09-04,large,13891.7,78.0,13567.21,76.0,14666.85,14603.7,25.77,2756.93,9.09,2892.18,
100514,เขื่อนนฤบดินทรจินดา,2025-09-04,large,172.66,59.0,185.99,63.0,224.51,255.57,1.9,206.42,0.28,236.62,
100503,เขื่อนบางพระ,2025-09-04,large,90.83,78.0,64.83,55.0,96.64,83.0,0.43,41.11,0.31,82.39,
100501,เขื่อนขุนด่านปราการชล,2025-09-04,large,140.58,63.0,137.16,61.0,179.29,186.47,2.13,227.7,0.65,261.81,
100502,เขื่อนคลองสียัด,2025-09-04,large,72.88,17.0,134.24,32.0,191.17,141.54,0.35,70.79,0.13,174.38,
100504,เขื่อนหนองปลาไหล,2025-09-04,large,91.69,56.0,112.8,69.0,154.99,156.52,1.11,66.69,0.69,134.58,
100505,เขื่อนประแสร์,2025-09-04,large,215.6,73.0,218.48,74.0,241.52,245.61,3.38,120.81,0.04,125.09,
200603,เขื่อนรัชชประภา,2025-09-04,large,4146.1,74.0,3396.47,60.0,4123.64,4395.2,22.93,1516.74,3.09,1385.05,
200604,เขื่อนบางลาง,2025-09-04,large,629.42,43.0,700.77,48.0,1128.06,1245.97,2.75,1227.74,2.98,1690.98,
200601,เขื่อนแก่งกระจาน,2025-09-04,large,402.85,57.0,419.92,59.0,477.85,422.43,5.24,492.27,1.73,527.61,
100602,เขื่อนปราณบุรี,2025-09-04,large,149.48,38.0,137.86,35.0,192.19,179.0,0.53,135.94,0.34,172.81,
rsv01,อ่างเก็บน้ำห้วยแม่ออน,2025-09-04,middle,4.53,100.0,3.841,84.79,10.174,,0.07,,0.054,,3.73
rsv02,อ่างเก็บน้ำแม่จอกหลวง,2025-09-04,middle,0.892,81.09,0.955,86.82,0.69,,0.033,,,,0.792
rsv03,อ่างเก็บน้ำห้วยมะนาว,2025-09-04,middle,3.384,78.7,2.885,67.09,1.299,,0.008,,,,3.284
rsv04,อ่างเก็บน้ำห้วยโป่งจ้อ,2025-09-04,middle,2.374,85.64,1.511,54.51,1.932,,0.031,,,,2.324
rsv05,อ่างเก็บน้ำแม่ตูบ,2025-09-04,middle,31.414,80.55,25.532,65.47,28.21,,0.128,,0.101,,30.914
