dam,catchment,purpose,last_seen_obs_date
AMAPONGOKWE,Runde,IRWS,2026-07-27
ANTELOPE,Mzingwane,IRWS,2026-07-27
ARCADIA,Mazowe,IR,2026-07-27
BANGA,Runde,IR,2026-07-27
BANGALA,Runde,IR,2026-07-27
BANGAZAAN,Save,WS,2026-07-27
BEIT BRIDGE,Mzingwane,WS,2026-07-27
BHIRI-MANYAME,Manyame,IR,2026-07-27
BIRI,Mzingwane,IR,2026-07-27
BLOCKLEY,Mazowe,IRWS,2026-07-27
BUBI LUPANE,Gwayi,IWS,2026-07-27
BULLIMA,Mzingwane,IRWS,2026-07-27
BUMURURU,Manyame,IRWS,2026-07-27
CACTUS POORT,Sanyati,INWS,2026-07-27
CHAKO,Save,IR,2026-07-27
CHEDOZVO,Runde,WS,2026-07-27
CHESA,Mazowe,WS,2026-07-27
CHIBERO,Sanyati,WSIR,2026-07-27
CHIKOMBA,Sanyati,IRWS,2026-07-27
CHIMHANDA,Mazowe,IRWS,2026-07-27
CHIMWE,Mzingwane,IR,2026-07-27
CHINYAMATUMWA,Save,IR,2026-07-27
CHITISA,Mazowe,WS,2026-07-27
CHIVAKE,Runde,IR,2026-07-27
CHIVERO,Manyame,IRWS,2026-07-27
CHWAKE,Mazowe,WS,2026-07-27
CLAW STAGE II,Sanyati,IRWS,2026-07-27
CLIFTON,Sanyati,IRWS,2026-07-27
DZIVA,Sanyati,IRWS,2026-07-27
EASTWOLDS,Manyame,IR,2026-07-27
EXCHANGE,Gwayi,IRWS,2026-07-27
GONYE,Runde,WS,2026-07-27
GOZHO,Runde,IR,2026-07-27
GWENORO,Runde,IRWS,2026-07-27
HAMA,Runde,IR,2026-07-27
HARAVA,Manyame,WSIR,2026-07-27
INGWESI,Mzingwane,IRWS,2026-07-27
INSIZA,Mzingwane,WSIR,2026-07-27
INSUKAMINI,Gwayi,IRWS,2026-07-27
INYANKUNI,Mzingwane,WS,2026-07-27
JIRI,Runde,IR,2026-07-27
JUMBO,Mazowe,IRMI,2026-07-27
KALOPE,Gwayi,IR,2026-07-27
KARIBA,Sanyati,HY,2026-07-27
KAROI,Manyame,WSIR,2026-07-27
KHAMI,Gwayi,IR,2026-07-27
KOTWA,Mazowe,WS,2026-07-27
KUDZWE,Mazowe,WS,2026-07-27
KUSHINGA PHIKELELA,Mazowe,IRWS,2026-07-27
LOWER MGUSA,Gwayi,IR,2026-07-27
LOWER MUJENI,Mzingwane,IRWS,2026-07-27
LOWER NCEMA,Mzingwane,WS,2026-07-27
LOWER ZIVAGWE,Sanyati,IRWS,2026-07-27
LUNGWALA,Gwayi,IR,2026-07-27
MABVUTE,Runde,IR,2026-07-27
MABWEMATEMA,Runde,IR,2026-07-27
MAGUDU,Runde,IR,2026-07-27
MAHUSEKWA,Sanyati,IR,2026-07-27
MAKONESE,Runde,IR,2026-07-27
MAMINA,Sanyati,IR,2026-07-27
MANANDA,Gwayi,IRIN,2026-07-27
MANGWE,Mzingwane,WS,2026-07-27
MANJIRENJI,Runde,IR,2026-07-27
MANYAME,Manyame,WSIR,2026-07-27
MANYUCHI,Mzingwane,IR,2026-07-27
MAROVANYATI,Save,IRWS,2026-07-27
MASEMBURA,Mazowe,IR,2026-07-27
MASHOKO,Save,IR,2026-07-27
MASHOLOMOSHE,Mzingwane,IR,2026-07-27
MATEZVA,Save,IRMI,2026-07-27
MAZOWE,Mazowe,IR,2026-07-27
MAZVIKADEI,Mazowe,IRMI,2026-07-27
MBEMBESWANE,Mzingwane,IRWS,2026-07-27
MBINDANGOMBE,Runde,IR,2026-07-27
MGULULU,Gwayi,WS,2026-07-27
MHAKWE,Save,IR,2026-07-27
MHENDE,Runde,IR,2026-07-27
MHLANGWA,Mzingwane,WSIR,2026-07-27
MOZA,Gwayi,IR,2026-07-27
MPOPOMA,Mzingwane,IR,2026-07-27
MTSHABEZI,Mzingwane,IRWS,2026-07-27
MUCHEKERANWA,Save,WS,2026-07-27
MUFURUDZI,Mazowe,IR,2026-07-27
MUNDI MATAGA,Mzingwane,IR,2026-07-27
MUNJANGANJA,Save,IR,2026-07-27
MUPFURE WEIRS,Sanyati,WS,2026-07-27
MUSAWEREMA,Runde,IR,2026-07-27
MUSHANDIKE,Runde,IR,2026-07-27
MUTERI,Runde,IR,2026-07-27
MUTIRIKWI,Runde,WSIR,2026-07-27
MUZHWI,Runde,IRMI,2026-07-27
MWARAZI,Mazowe,MIWS,2026-07-27
MWENJE NOAKES-STAGE II,Mazowe,IRWSI,2026-07-27
MZINGWANE,Mzingwane,IRWS,2026-07-27
NEGOMO,Mazowe,IR,2026-07-27
NERUTANGA,Save,WS,2026-07-27
NGESI,Sanyati,IRWS,2026-07-27
NGEZI,Runde,WSIR,2026-07-27
NGONDOMA,Sanyati,IR,2026-07-27
NGWANE,Mzingwane,WS,2026-07-27
NGWENYA,Gwayi,IRWS,2026-07-27
NYADIRE,Mazowe,WS,2026-07-27
NYAHANGARE,Save,IR,2026-07-27
NYAJENA,Runde,IR,2026-07-27
